iter	Passed	Remaining
709	1317	538
710	1319	536
711	1322	534
712	1325	533
713	1328	532
714	1335	532
715	1338	530
716	1339	528
717	1341	527
718	1343	525
719	1345	523
720	1347	521
721	1349	519
722	1351	517
723	1353	516
724	1355	514
725	1357	512
726	1359	510
727	1360	508
728	1362	506
729	1364	504
730	1366	502
731	1368	500
732	1370	499
733	1372	497
734	1374	495
735	1376	493
736	1378	491
737	1380	490
738	1382	488
739	1384	486
740	1386	484
741	1388	482
742	1390	481
743	1393	479
744	1394	477
745	1396	475
746	1398	473
747	1400	471
748	1402	469
749	1403	467
750	1405	466
751	1408	464
752	1416	464
753	1421	463
754	1424	462
755	1427	460
756	1432	459
757	1438	459
758	1440	457
759	1444	456
760	1447	454
761	1449	452
762	1451	450
763	1454	449
764	1455	447
765	1457	445
766	1458	443
767	1460	441
768	1463	439
769	1464	437
770	1466	435
771	1468	433
772	1470	431
773	1471	429
774	1474	428
775	1476	426
776	1477	424
777	1480	422
778	1482	420
779	1484	418
780	1486	416
781	1488	414
782	1490	412
783	1492	411
784	1493	409
785	1495	407
786	1497	405
787	1498	403
788	1500	401
789	1502	399
790	1504	397
791	1505	395
792	1507	393
793	1508	391
794	1510	389
795	1512	387
796	1514	385
797	1516	383
798	1518	381
799	1519	379
800	1521	377
801	1523	376
802	1524	374
803	1527	372
804	1528	370
805	1530	368
806	1532	366
807	1533	364
808	1535	362
809	1536	360
810	1538	358
811	1540	356
812	1541	354
813	1543	352
814	1545	350
815	1546	348
816	1548	346
817	1549	344
818	1551	342
819	1552	340
820	1554	338
821	1556	336
822	1557	335
823	1559	333
824	1561	331
825	1562	329
826	1564	327
827	1565	325
828	1567	323
829	1569	321
830	1570	319
831	1572	317
832	1574	315
833	1576	313
834	1577	311
835	1579	309
836	1581	307
837	1582	306
838	1584	304
839	1586	302
840	1587	300
841	1589	298
842	1590	296
843	1592	294
844	1594	292
845	1596	290
846	1598	288
847	1599	286
848	1601	284
849	1603	282
850	1604	280
851	1606	278
852	1608	277
853	1610	275
854	1611	273
855	1613	271
856	1614	269
857	1616	267
858	1618	265
859	1619	263
860	1621	261
861	1622	259
862	1624	257
863	1625	255
864	1627	253
865	1628	252
866	1630	250
867	1632	248
868	1633	246
869	1635	244
870	1637	242
871	1638	240
872	1640	238
873	1641	236
874	1643	234
875	1645	232
876	1646	230
877	1648	229
878	1650	227
879	1651	225
880	1653	223
881	1655	221
882	1656	219
883	1659	217
884	1660	215
885	1662	213
886	1664	212
887	1665	210
888	1667	208
889	1669	206
890	1671	204
891	1673	202
892	1675	200
893	1676	198
894	1678	196
895	1680	195
896	1681	193
897	1683	191
898	1685	189
899	1687	187
900	1688	185
901	1690	183
902	1692	181
903	1693	179
904	1695	177
905	1697	176
906	1698	174
907	1700	172
908	1702	170
909	1704	168
910	1705	166
911	1707	164
912	1708	162
913	1710	160
914	1712	159
915	1713	157
916	1715	155
917	1717	153
918	1719	151
919	1720	149
920	1722	147
921	1724	145
922	1725	143
923	1727	142
924	1729	140
925	1730	138
926	1732	136
927	1734	134
928	1736	132
929	1737	130
930	1739	128
931	1741	127
932	1742	125
933	1744	123
934	1746	121
935	1748	119
936	1749	117
937	1751	115
938	1752	113
939	1754	111
940	1756	110
941	1757	108
942	1759	106
943	1761	104
944	1762	102
945	1764	100
946	1765	98
947	1768	96
948	1769	95
949	1771	93
950	1772	91
951	1774	89
952	1776	87
953	1778	85
954	1779	83
955	1781	81
956	1782	80
957	1784	78
958	1786	76
959	1788	74
960	1789	72
961	1791	70
962	1792	68
963	1794	67
964	1796	65
965	1797	63
966	1799	61
967	1800	59
968	1802	57
969	1804	55
970	1806	53
971	1808	52
972	1809	50
973	1811	48
974	1813	46
975	1814	44
976	1816	42
977	1818	40
978	1819	39
979	1821	37
980	1824	35
981	1825	33
982	1827	31
983	1829	29
984	1830	27
985	1832	26
986	1834	24
987	1836	22
988	1838	20
989	1840	18
990	1841	16
991	1843	14
992	1845	13
993	1847	11
994	1848	9
995	1850	7
996	1851	5
997	1853	3
998	1855	1
999	1857	0
