iter	Passed	Remaining
473	680	754
474	681	752
475	682	751
476	683	749
477	684	747
478	685	745
479	686	744
480	688	742
481	689	740
482	690	738
483	691	737
484	692	735
485	694	734
486	695	732
487	696	730
488	697	729
489	698	727
490	700	725
491	701	724
492	702	722
493	703	720
494	704	718
495	705	716
496	706	715
497	707	713
498	708	711
499	709	709
500	710	708
501	711	706
502	712	704
503	714	702
504	715	700
505	716	699
506	717	697
507	718	696
508	719	694
509	721	692
510	722	691
511	723	689
512	724	687
513	725	686
514	726	684
515	728	682
516	729	681
517	730	679
518	731	677
519	732	675
520	733	674
521	734	672
522	735	670
523	736	668
524	737	667
525	738	665
526	739	663
527	740	662
528	741	660
529	742	658
530	743	656
531	744	655
532	745	653
533	746	651
534	748	650
535	749	648
536	750	646
537	751	645
538	752	643
539	753	641
540	754	640
541	755	638
542	757	637
543	758	635
544	759	634
545	760	632
546	762	631
547	763	629
548	764	627
549	765	626
550	766	624
551	767	623
552	769	621
553	770	620
554	771	618
555	772	616
556	773	615
557	774	613
558	775	611
559	776	610
560	778	608
561	779	607
562	780	605
563	781	604
564	782	602
565	783	601
566	784	599
567	785	597
568	786	596
569	788	594
570	789	593
571	790	591
572	791	589
573	792	588
574	793	586
575	794	585
576	796	583
577	797	581
578	798	580
579	799	578
580	800	577
581	801	575
582	802	573
583	803	572
584	804	570
585	805	568
586	806	567
587	807	565
588	808	564
589	809	562
590	810	560
591	811	559
592	812	557
593	813	556
594	814	554
595	815	553
596	816	551
597	817	549
598	818	548
599	820	546
600	821	545
601	822	543
602	823	541
603	824	540
604	825	538
605	826	537
606	827	535
607	828	534
608	829	532
609	830	531
610	831	529
611	832	528
612	833	526
613	834	524
614	835	523
615	836	521
616	837	520
617	838	518
618	840	517
619	841	515
620	842	514
621	843	512
622	844	510
623	845	509
624	846	508
625	848	506
626	849	505
627	850	503
628	851	502
629	852	500
630	854	499
631	855	498
632	856	496
633	857	494
634	858	493
635	859	492
636	860	490
637	861	488
638	862	487
639	864	486
640	865	484
641	866	483
642	867	481
643	868	480
644	869	478
645	870	477
646	871	475
647	872	474
648	873	472
649	874	471
650	875	469
651	876	468
652	878	466
653	879	465
654	880	463
655	881	462
656	882	460
657	883	459
658	884	457
659	885	456
660	886	454
661	887	453
662	888	451
663	889	450
664	890	448
665	891	447
666	892	445
667	893	444
668	894	442
669	895	441
670	896	439
671	897	438
672	898	436
673	899	435
674	900	433
675	902	432
676	903	430
677	904	429
678	905	428
679	906	426
680	907	425
681	908	423
682	910	422
683	911	420
684	912	419
685	913	418
686	914	416
687	915	415
688	916	413
689	918	412
690	919	411
691	920	409
692	921	408
693	922	406
694	923	405
695	924	403
696	926	402
697	927	401
698	928	399
699	929	398
700	930	396
701	931	395
702	932	393
703	933	392
704	934	391
705	935	389
706	936	388
707	938	386
708	939	385
709	940	384
710	941	382
711	943	381
712	944	380
713	945	378
714	946	377
715	947	375
716	948	374
717	949	373
718	950	371
719	951	370
720	952	368
721	954	367
722	955	365
723	956	364
724	957	363
725	958	361
726	959	360
727	960	358
728	961	357
729	962	356
730	963	354
731	964	353
732	965	351
733	966	350
734	967	348
735	968	347
736	970	346
737	971	344
738	972	343
739	973	342
740	974	340
741	975	339
742	976	337
743	977	336
744	978	334
745	979	333
746	980	332
747	981	330
748	983	329
749	984	328
750	985	326
751	986	325
752	987	323
753	988	322
754	989	321
755	990	319
756	991	318
757	992	316
758	993	315
759	994	314
760	995	312
761	996	311
762	997	309
763	998	308
764	999	307
765	1000	305
766	1001	304
767	1002	302
768	1003	301
769	1004	299
770	1005	298
771	1005	297
772	1006	295
773	1007	294
774	1008	292
775	1009	291
776	1010	289
777	1011	288
778	1012	287
779	1013	285
780	1014	284
781	1014	282
782	1016	281
783	1016	280
784	1017	278
785	1018	277
786	1019	275
787	1020	274
788	1021	273
789	1022	271
790	1023	270
791	1024	268
792	1025	267
793	1025	266
794	1026	264
795	1027	263
796	1028	262
797	1029	260
798	1030	259
799	1031	257
800	1032	256
801	1033	255
802	1034	253
803	1035	252
804	1036	251
805	1037	249
806	1038	248
807	1038	246
808	1039	245
809	1040	244
810	1041	242
811	1042	241
812	1043	240
813	1044	238
814	1045	237
815	1046	235
816	1047	234
817	1048	233
818	1049	231
819	1050	230
820	1051	229
821	1052	227
822	1054	226
823	1055	225
824	1056	224
825	1057	222
826	1058	221
827	1059	220
828	1062	219
829	1063	217
830	1064	216
831	1065	215
832	1066	213
833	1067	212
834	1069	211
835	1070	209
836	1071	208
837	1072	207
838	1073	205
839	1074	204
840	1075	203
841	1076	202
842	1077	200
843	1079	199
844	1080	198
845	1081	196
846	1082	195
847	1083	194
848	1085	193
849	1086	191
850	1087	190
851	1088	189
852	1089	187
853	1090	186
854	1092	185
855	1093	183
856	1094	182
857	1095	181
858	1096	180
859	1097	178
860	1099	177
861	1100	176
862	1101	174
863	1102	173
864	1103	172
865	1105	171
866	1106	169
867	1107	168
868	1108	167
869	1110	165
870	1111	164
871	1112	163
872	1113	161
873	1114	160
874	1115	159
875	1117	158
876	1118	156
877	1120	155
878	1121	154
879	1122	153
880	1123	151
881	1124	150
882	1126	149
883	1127	147
884	1128	146
885	1129	145
886	1130	144
887	1132	142
888	1133	141
889	1134	140
890	1135	138
891	1138	137
892	1139	136
893	1140	135
894	1141	133
895	1142	132
896	1144	131
897	1145	130
898	1146	128
899	1147	127
900	1149	126
901	1151	125
902	1152	123
903	1153	122
904	1154	121
905	1156	120
906	1158	118
907	1159	117
908	1160	116
909	1161	114
910	1162	113
911	1164	112
912	1165	111
913	1166	109
914	1167	108
915	1168	107
916	1170	105
917	1171	104
918	1172	103
919	1173	102
920	1174	100
921	1176	99
922	1177	98
923	1178	96
924	1179	95
925	1180	94
926	1182	93
927	1183	91
928	1184	90
929	1185	89
930	1186	87
931	1188	86
932	1189	85
933	1190	84
934	1191	82
935	1192	81
936	1193	80
937	1195	78
938	1196	77
939	1197	76
940	1198	75
941	1199	73
942	1201	72
943	1202	71
944	1203	70
945	1204	68
946	1206	67
947	1207	66
948	1208	64
949	1209	63
950	1210	62
951	1212	61
952	1213	59
953	1214	58
954	1216	57
955	1217	56
956	1218	54
957	1219	53
958	1220	52
959	1221	50
960	1223	49
961	1224	48
962	1225	47
963	1226	45
964	1227	44
965	1228	43
966	1229	41
967	1231	40
968	1232	39
969	1233	38
970	1234	36
971	1235	35
972	1237	34
973	1238	33
974	1239	31
975	1240	30
976	1242	29
977	1243	27
978	1244	26
979	1245	25
980	1247	24
981	1248	22
982	1249	21
983	1250	20
984	1252	19
985	1253	17
986	1254	16
987	1255	15
988	1256	13
989	1258	12
990	1259	11
991	1260	10
992	1261	8
993	1262	7
994	1263	6
995	1264	5
996	1265	3
997	1266	2
998	1268	1
999	1269	0
